battle_id,league_id,team_a_id,team_b_id,start_time,winrate_diff,gold_diff,tower_diff,big_dragon_diff,tyrant_diff,kda_diff_30d,kda_diff_all,winrate_diff_all,games_diff,top_kda_diff,top_mvp_diff,jungle_kda_diff,jungle_mvp_diff,mid_kda_diff,mid_mvp_diff,adc_kda_diff,adc_mvp_diff,support_kda_diff,support_mvp_diff,label
736117264_32_1765095750,20250004,10903,10017,2025-12-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9995326854944828,-0.16530013159226636,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_33_1765097769,20250004,10903,10017,2025-12-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9995326854944828,-0.16530013159226636,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_34_1765104438,20250004,12202,10006,2025-12-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-3.518028888888889,0.12222222222222223,-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_35_1765106791,20250004,12202,10006,2025-12-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-3.518028888888889,0.12222222222222223,-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_36_1765108874,20250004,12202,10006,2025-12-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-3.518028888888889,0.12222222222222223,-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_37_1765110711,20250004,12202,10006,2025-12-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-3.518028888888889,0.12222222222222223,-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_38_1765114757,20250004,10001,10005,2025-12-07 20:30:00,-0.16666666666666669,54393.833333333336,3.8333333333333335,0.6666666666666666,2.1666666666666665,5.442383333333332,0.8426297581429258,0.08319154107924165,15,0.0,0.0,2.0500000000000003,1.666666666666667,2.75,1.1166666666666671,4.883333333333333,3.6500000000000004,4.216666666666667,1.6999999999999993,0
736117264_39_1765116902,20250004,10001,10005,2025-12-07 20:30:00,-0.16666666666666669,54393.833333333336,3.8333333333333335,0.6666666666666666,2.1666666666666665,5.442383333333332,0.8426297581429258,0.08319154107924165,15,0.0,0.0,2.0500000000000003,1.666666666666667,2.75,1.1166666666666671,4.883333333333333,3.6500000000000004,4.216666666666667,1.6999999999999993,0
736117264_40_1765119135,20250004,10001,10005,2025-12-07 20:30:00,-0.16666666666666669,54393.833333333336,3.8333333333333335,0.6666666666666666,2.1666666666666665,5.442383333333332,0.8426297581429258,0.08319154107924165,15,0.0,0.0,2.0500000000000003,1.666666666666667,2.75,1.1166666666666671,4.883333333333333,3.6500000000000004,4.216666666666667,1.6999999999999993,0
736117264_42_1765166618,20250004,12210,10910,2025-12-08 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_43_1765168386,20250004,12210,10910,2025-12-08 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_44_1765170295,20250004,12210,10910,2025-12-08 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_45_1765174446,20250004,10010,10008,2025-12-08 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-2.2545089189189196,-0.1858108108108108,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
